date_key,full_date,day,month,month_name,quarter,year,day_of_week,is_weekend
20050719,2005-07-19,19,7,July,3,2005,Tuesday,0
20050720,2005-07-20,20,7,July,3,2005,Wednesday,0
20050721,2005-07-21,21,7,July,3,2005,Thursday,0
20050722,2005-07-22,22,7,July,3,2005,Friday,0
20050723,2005-07-23,23,7,July,3,2005,Saturday,1
20050724,2005-07-24,24,7,July,3,2005,Sunday,1
20050725,2005-07-25,25,7,July,3,2005,Monday,0
20050726,2005-07-26,26,7,July,3,2005,Tuesday,0
20050727,2005-07-27,27,7,July,3,2005,Wednesday,0
20050728,2005-07-28,28,7,July,3,2005,Thursday,0
20050729,2005-07-29,29,7,July,3,2005,Friday,0
20050730,2005-07-30,30,7,July,3,2005,Saturday,1
20050731,2005-07-31,31,7,July,3,2005,Sunday,1
20050801,2005-08-01,1,8,August,3,2005,Monday,0
20050802,2005-08-02,2,8,August,3,2005,Tuesday,0
20050803,2005-08-03,3,8,August,3,2005,Wednesday,0
20050804,2005-08-04,4,8,August,3,2005,Thursday,0
20050805,2005-08-05,5,8,August,3,2005,Friday,0
20050806,2005-08-06,6,8,August,3,2005,Saturday,1
20050807,2005-08-07,7,8,August,3,2005,Sunday,1
20050808,2005-08-08,8,8,August,3,2005,Monday,0
20050809,2005-08-09,9,8,August,3,2005,Tuesday,0
20050810,2005-08-10,10,8,August,3,2005,Wednesday,0
20050811,2005-08-11,11,8,August,3,2005,Thursday,0
20050812,2005-08-12,12,8,August,3,2005,Friday,0
20050813,2005-08-13,13,8,August,3,2005,Saturday,1
20050814,2005-08-14,14,8,August,3,2005,Sunday,1
20050815,2005-08-15,15,8,August,3,2005,Monday,0
20050816,2005-08-16,16,8,August,3,2005,Tuesday,0
20050817,2005-08-17,17,8,August,3,2005,Wednesday,0
20050818,2005-08-18,18,8,August,3,2005,Thursday,0
20050819,2005-08-19,19,8,August,3,2005,Friday,0
20050820,2005-08-20,20,8,August,3,2005,Saturday,1
20050821,2005-08-21,21,8,August,3,2005,Sunday,1
20050822,2005-08-22,22,8,August,3,2005,Monday,0
20050823,2005-08-23,23,8,August,3,2005,Tuesday,0
20050824,2005-08-24,24,8,August,3,2005,Wednesday,0
20050825,2005-08-25,25,8,August,3,2005,Thursday,0
20050826,2005-08-26,26,8,August,3,2005,Friday,0
20050827,2005-08-27,27,8,August,3,2005,Saturday,1
20050828,2005-08-28,28,8,August,3,2005,Sunday,1
20050829,2005-08-29,29,8,August,3,2005,Monday,0
20050830,2005-08-30,30,8,August,3,2005,Tuesday,0
20050831,2005-08-31,31,8,August,3,2005,Wednesday,0
20050901,2005-09-01,1,9,September,3,2005,Thursday,0
20050902,2005-09-02,2,9,September,3,2005,Friday,0
20050903,2005-09-03,3,9,September,3,2005,Saturday,1
20050904,2005-09-04,4,9,September,3,2005,Sunday,1
20050905,2005-09-05,5,9,September,3,2005,Monday,0
20050906,2005-09-06,6,9,September,3,2005,Tuesday,0
20050907,2005-09-07,7,9,September,3,2005,Wednesday,0
20050908,2005-09-08,8,9,September,3,2005,Thursday,0
20050909,2005-09-09,9,9,September,3,2005,Friday,0
20050910,2005-09-10,10,9,September,3,2005,Saturday,1
20050911,2005-09-11,11,9,September,3,2005,Sunday,1
20050912,2005-09-12,12,9,September,3,2005,Monday,0
20050913,2005-09-13,13,9,September,3,2005,Tuesday,0
20050914,2005-09-14,14,9,September,3,2005,Wednesday,0
20050915,2005-09-15,15,9,September,3,2005,Thursday,0
20050916,2005-09-16,16,9,September,3,2005,Friday,0
20050917,2005-09-17,17,9,September,3,2005,Saturday,1
20050918,2005-09-18,18,9,September,3,2005,Sunday,1
20050919,2005-09-19,19,9,September,3,2005,Monday,0
20050920,2005-09-20,20,9,September,3,2005,Tuesday,0
20050921,2005-09-21,21,9,September,3,2005,Wednesday,0
20050922,2005-09-22,22,9,September,3,2005,Thursday,0
20050923,2005-09-23,23,9,September,3,2005,Friday,0
20050924,2005-09-24,24,9,September,3,2005,Saturday,1
20050925,2005-09-25,25,9,September,3,2005,Sunday,1
20050926,2005-09-26,26,9,September,3,2005,Monday,0
20050927,2005-09-27,27,9,September,3,2005,Tuesday,0
20050928,2005-09-28,28,9,September,3,2005,Wednesday,0
20050929,2005-09-29,29,9,September,3,2005,Thursday,0
20050930,2005-09-30,30,9,September,3,2005,Friday,0
20051001,2005-10-01,1,10,October,4,2005,Saturday,1
20051002,2005-10-02,2,10,October,4,2005,Sunday,1
20051003,2005-10-03,3,10,October,4,2005,Monday,0
20051004,2005-10-04,4,10,October,4,2005,Tuesday,0
20051005,2005-10-05,5,10,October,4,2005,Wednesday,0
20051006,2005-10-06,6,10,October,4,2005,Thursday,0
20051007,2005-10-07,7,10,October,4,2005,Friday,0
20051008,2005-10-08,8,10,October,4,2005,Saturday,1
20051009,2005-10-09,9,10,October,4,2005,Sunday,1
20051010,2005-10-10,10,10,October,4,2005,Monday,0
20051011,2005-10-11,11,10,October,4,2005,Tuesday,0
20051012,2005-10-12,12,10,October,4,2005,Wednesday,0
20051013,2005-10-13,13,10,October,4,2005,Thursday,0
20051014,2005-10-14,14,10,October,4,2005,Friday,0
20051015,2005-10-15,15,10,October,4,2005,Saturday,1
20051016,2005-10-16,16,10,October,4,2005,Sunday,1
20051017,2005-10-17,17,10,October,4,2005,Monday,0
20051018,2005-10-18,18,10,October,4,2005,Tuesday,0
20051019,2005-10-19,19,10,October,4,2005,Wednesday,0
20051020,2005-10-20,20,10,October,4,2005,Thursday,0
20051021,2005-10-21,21,10,October,4,2005,Friday,0
20051022,2005-10-22,22,10,October,4,2005,Saturday,1
20051023,2005-10-23,23,10,October,4,2005,Sunday,1
20051024,2005-10-24,24,10,October,4,2005,Monday,0
20051025,2005-10-25,25,10,October,4,2005,Tuesday,0
20051026,2005-10-26,26,10,October,4,2005,Wednesday,0
20051027,2005-10-27,27,10,October,4,2005,Thursday,0
20051028,2005-10-28,28,10,October,4,2005,Friday,0
20051029,2005-10-29,29,10,October,4,2005,Saturday,1
20051030,2005-10-30,30,10,October,4,2005,Sunday,1
20051031,2005-10-31,31,10,October,4,2005,Monday,0
20051101,2005-11-01,1,11,November,4,2005,Tuesday,0
20051102,2005-11-02,2,11,November,4,2005,Wednesday,0
20051103,2005-11-03,3,11,November,4,2005,Thursday,0
20051104,2005-11-04,4,11,November,4,2005,Friday,0
20051105,2005-11-05,5,11,November,4,2005,Saturday,1
20051106,2005-11-06,6,11,November,4,2005,Sunday,1
20051107,2005-11-07,7,11,November,4,2005,Monday,0
20051108,2005-11-08,8,11,November,4,2005,Tuesday,0
20051109,2005-11-09,9,11,November,4,2005,Wednesday,0
